Auditor_Note,llm_summary,spacy_keywords,sim_llm,sim_spacy
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Sanction Screening, flagged for further analysis."," Detected issue in Sanction Screening, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'sanction screening']",1.0000000000000002,0.6825216130176632
"Detected issue in Tagging Delay Check, flagged for further analysis."," Detected issue in Tagging Delay Check, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'tagging delay check']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
"Detected issue in DR Activity, flagged for further analysis."," Detected issue in DR Activity, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'dr activity', 'further', 'further analysis', 'issue']",1.0000000000000002,0.6825216130176632
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in DR Activity, flagged for further analysis."," Detected issue in DR Activity, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'dr activity', 'further', 'further analysis', 'issue']",1.0000000000000002,0.6825216130176632
"Detected issue in Non-Actionable Alerts Review, flagged for further analysis."," Detected issue in Non-Actionable Alerts Review, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'non-actionable alerts review']",1.0000000000000002,0.7190400934963505
"Detected issue in Non-Actionable Alerts Review, flagged for further analysis."," Detected issue in Non-Actionable Alerts Review, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'non-actionable alerts review']",1.0000000000000002,0.7190400934963505
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
"Detected issue in DR Activity, flagged for further analysis."," Detected issue in DR Activity, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'dr activity', 'further', 'further analysis', 'issue']",1.0000000000000002,0.6825216130176632
"Detected issue in Non-Actionable Alerts Review, flagged for further analysis."," Detected issue in Non-Actionable Alerts Review, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'non-actionable alerts review']",1.0000000000000002,0.7190400934963505
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Sanction Screening, flagged for further analysis."," Detected issue in Sanction Screening, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'sanction screening']",1.0000000000000002,0.6825216130176632
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Tagging Delay Check, flagged for further analysis."," Detected issue in Tagging Delay Check, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'tagging delay check']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Sanction Screening, flagged for further analysis."," Detected issue in Sanction Screening, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'sanction screening']",1.0000000000000002,0.6825216130176632
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
"Detected issue in Backdated Entry Review, flagged for further analysis."," Detected issue in Backdated Entry Review, flagged for further analysis .","['analysis', 'backdated entry review', 'detected', 'detected issue', 'further', 'further analysis', 'issue']",1.0000000000000007,0.7019139398914429
"Detected issue in Tagging Delay Check, flagged for further analysis."," Detected issue in Tagging Delay Check, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'tagging delay check']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Sanction Screening, flagged for further analysis."," Detected issue in Sanction Screening, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'sanction screening']",1.0000000000000002,0.6825216130176632
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in FX Exposure Review, flagged for further analysis.", Detected issue in FX Exposure Review flagged for further analysis . Detected issue flagged up in FX exposure Review .,"['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'fx exposure review', 'issue']",0.9361691636741184,0.7019139398914429
"Detected issue in Backdated Entry Review, flagged for further analysis."," Detected issue in Backdated Entry Review, flagged for further analysis .","['analysis', 'backdated entry review', 'detected', 'detected issue', 'further', 'further analysis', 'issue']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Backdated Entry Review, flagged for further analysis."," Detected issue in Backdated Entry Review, flagged for further analysis .","['analysis', 'backdated entry review', 'detected', 'detected issue', 'further', 'further analysis', 'issue']",1.0000000000000007,0.7019139398914429
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Non-Actionable Alerts Review, flagged for further analysis."," Detected issue in Non-Actionable Alerts Review, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'non-actionable alerts review']",1.0000000000000002,0.7190400934963505
"Detected issue in Tagging Delay Check, flagged for further analysis."," Detected issue in Tagging Delay Check, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'tagging delay check']",1.0000000000000007,0.7019139398914429
"Detected issue in Trade Vault Reconciliation, flagged for further analysis."," Detected issue in Trade Vault Reconciliation, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'trade vault reconciliation']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
"Detected issue in Tagging Delay Check, flagged for further analysis."," Detected issue in Tagging Delay Check, flagged for further analysis .","['analysis', 'detected', 'detected issue', 'further', 'further analysis', 'issue', 'tagging delay check']",1.0000000000000007,0.7019139398914429
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
Control operating effectively., Control operating effectively. Control operating well. Control working effectively.,['control'],0.8829548840835919,0.4494364165239821
